bin,lon_rad,lon_deg,lat_summer_rad,lat_summer_deg,lat_winter_rad,lat_winter_deg
89,-1.579523,-90.5,0.380911,21.824572,0.179948,10.310273
90,-1.56207,-89.499999,0.379925,21.768074,0.171462,9.824026
91,-1.544616,-88.499997,0.378975,21.713694,0.161996,9.281703
92,-1.527163,-87.500003,0.37807,21.661824,0.151516,8.681227
93,-1.50971,-86.500002,0.377216,21.612877,0.139994,8.021052
94,-1.492257,-85.500001,0.376421,21.567333,0.12744,7.301765
95,-1.474803,-84.5,0.375694,21.525684,0.113874,6.524485
96,-1.45735,-83.499998,0.375044,21.488426,0.099315,5.690331
97,-1.439897,-82.499997,0.374479,21.456054,0.083783,4.800422
98,-1.422443,-81.500003,0.374007,21.429017,0.06731,3.856594
99,-1.40499,-80.500002,0.373633,21.407573,0.049978,2.863554
100,-1.387537,-79.500001,0.37336,21.391939,0.031882,1.826726
101,-1.370083,-78.499999,0.373192,21.382324,0.013117,0.751533
102,-1.35263,-77.499998,0.373133,21.378941,-0.006224,-0.356602
103,-1.335177,-76.499997,0.373185,21.381928,-0.026038,-1.491853
104,-1.317724,-75.500003,0.373345,21.391104,-0.046195,-2.646795
105,-1.30027,-74.500002,0.373609,21.406209,-0.06656,-3.8136
106,-1.282817,-73.5,0.373971,21.426988,-0.086995,-4.984442
107,-1.265364,-72.499999,0.374429,21.45318,-0.107364,-6.151492
108,-1.24791,-71.499998,0.374975,21.484471,-0.127533,-7.307122
109,-1.230457,-70.499997,0.3756,21.520323,-0.147384,-8.44449
110,-1.213004,-69.500003,0.376295,21.560138,-0.1668,-9.556953
111,-1.195551,-68.500001,0.377049,21.603318,-0.185666,-10.637866
112,-1.178097,-67.5,0.377851,21.64927,-0.203865,-11.680586
113,-1.160644,-66.499999,0.378691,21.697392,-0.221292,-12.679107
114,-1.143191,-65.499998,0.379558,21.74708,-0.237888,-13.629979
115,-1.125737,-64.499997,0.380442,21.797722,-0.253603,-14.530387
116,-1.108284,-63.500002,0.381332,21.848715,-0.268388,-15.377519
117,-1.090831,-62.500001,0.382217,21.899446,-0.282195,-16.168562
118,-1.073377,-61.5,0.383088,21.949349,-0.294984,-16.901363
119,-1.055924,-60.499999,0.383938,21.998031,-0.306766,-17.576404
120,-1.038471,-59.499998,0.38476,22.045134,-0.31756,-18.19483
121,-1.021018,-58.500003,0.385549,22.090305,-0.327385,-18.757783
122,-1.003564,-57.500002,0.386297,22.133192,-0.336262,-19.266406
123,-0.986111,-56.500001,0.387,22.173489,-0.344217,-19.722197
124,-0.968658,-55.5,0.387657,22.211099,-0.351301,-20.128071
125,-0.951204,-54.499999,0.388266,22.245979,-0.357571,-20.487296
126,-0.933751,-53.500001,0.388826,22.278083,-0.363083,-20.803146
127,-0.916298,-52.5,0.389337,22.307364,-0.367896,-21.078891
128,-0.898845,-51.499999,0.389798,22.333808,-0.372066,-21.317808
