mapping,land_mean_km,land_median_km,land_at_or_above_2km_share,maximum_land_km,q10_km,q25_km,q75_km,q90_km,q95_km,q99_km,earth_land_mean_km,earth_land_median_km,earth_land_at_or_above_2km_share,earth_matched_maximum_km,gate_count_passed,candidate_gate_status,gate_detail
legacy_linear,1.5404659100236466,1.1729729622602463,0.2838736818487772,8.537861824035645,0.2144874058663845,0.5403990000486374,2.2228154987096786,3.480702531337738,4.130816066265106,5.493928449153894,0.7936147913941995,0.4205841957659063,0.10742653260160782,6.258655071258545,1,HOLD,mean=HOLD; median=HOLD; high_share=HOLD; maximum=PASS
ui_quadratic,0.677581355591935,0.22931092836709133,0.10163413357265724,12.149180754387544,0.007667474546424134,0.04867184654674661,0.8234847902184144,2.0192150186107107,2.843940228899752,5.0305416420958275,0.7936147913941995,0.4205841957659063,0.10742653260160782,6.258655071258545,2,HOLD,mean=PASS; median=HOLD; high_share=PASS; maximum=HOLD
code_s_curve,0.5249289030287216,0.036966359785399514,0.09003814224814898,6.0,4.759072159326838e-05,0.0018318819303355552,0.3976224831424847,1.8208441522237722,3.027771807254147,5.640705183162723,0.7936147913941995,0.4205841957659063,0.10742653260160782,6.258655071258545,2,HOLD,mean=HOLD; median=HOLD; high_share=PASS; maximum=PASS
earth_fitted_power,0.7682763899877563,0.42051967837661974,0.10741717149053923,7.661812311125774,0.03506027977077629,0.13540453642771744,1.0708491004544096,2.0631003861825086,2.650123034798523,4.021249224245848,0.7936147913941995,0.4205841957659063,0.10742653260160782,6.258655071258545,4,PASS,mean=PASS; median=PASS; high_share=PASS; maximum=PASS
